case_type,ipc_section,case_facts_summary,evidence_strength,past_criminal_record,severity,victim_impact,outcome,base_probability
Property,IPC 406,Medical records exist but lack corroborative digital evidence.,Moderate,None,Low,Low,Mediation,61
Property,IPC 420,Bank records and official documents strongly establish the offense.,Strong,Minor,High,Severe,Conviction,81
Family,IPC 125,"No documentary proof, allegations based primarily on verbal claims.",Weak,None,High,Moderate,Acquittal,19
Property,IPC 420,Bank records and official documents strongly establish the offense.,Strong,Minor,Low,Moderate,Conviction,85
Property,IPC 406,Medical records exist but lack corroborative digital evidence.,Moderate,None,Medium,Moderate,Settlement,57
Family,IPC 125,"No documentary proof, allegations based primarily on verbal claims.",Weak,Serious,Medium,Severe,Acquittal,17
Civil,CPC 9,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Serious,High,Moderate,Conviction,76
Family,IPC 125,Bank records and official documents strongly establish the offense.,Strong,Serious,High,Severe,Conviction,80
Property,IPC 406,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Serious,Medium,Severe,Conviction,86
Property,IPC 406,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Minor,High,Severe,Conviction,86
Criminal,IPC 302,Witness statements are contradictory and lack supporting evidence.,Weak,Serious,Medium,Low,Acquittal,22
Civil,CPC 9,"No documentary proof, allegations based primarily on verbal claims.",Weak,Minor,Low,Severe,Acquittal,17
Civil,CPC 34,Partial documentation available along with verbal witness statements.,Moderate,None,Medium,Severe,Settlement,48
Property,IPC 420,Medical records exist but lack corroborative digital evidence.,Moderate,None,High,Severe,Settlement,58
Criminal,IPC 379,Case depends mainly on assumptions without physical proof.,Weak,Minor,Low,Low,Acquittal,22
Family,IPC 125,Partial documentation available along with verbal witness statements.,Moderate,Minor,Low,Severe,Conviction,53
Civil,CPC 34,Circumstantial evidence supported by limited witnesses.,Moderate,Minor,Medium,Moderate,Settlement,58
Civil,CPC 9,Circumstantial evidence supported by limited witnesses.,Moderate,None,Low,Moderate,Mediation,58
Criminal,IPC 302,Bank records and official documents strongly establish the offense.,Strong,None,Low,Severe,Conviction,87
Civil,CPC 34,"No documentary proof, allegations based primarily on verbal claims.",Weak,Serious,High,Moderate,Acquittal,15
Family,IPC 498A,Partial documentation available along with verbal witness statements.,Moderate,None,High,Severe,Mediation,64
Criminal,IPC 376,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,None,High,Moderate,Conviction,76
Property,IPC 447,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Minor,High,Severe,Conviction,88
Family,IPC 125,Case depends mainly on assumptions without physical proof.,Weak,Minor,Medium,Severe,Acquittal,29
Property,IPC 447,Witness statements are contradictory and lack supporting evidence.,Weak,Serious,Medium,Moderate,Acquittal,30
Property,IPC 447,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Minor,Low,Low,Conviction,83
Property,IPC 406,Circumstantial evidence supported by limited witnesses.,Moderate,Minor,High,Severe,Mediation,46
Family,IPC 498A,"No documentary proof, allegations based primarily on verbal claims.",Weak,Serious,Medium,Low,Acquittal,28
Civil,CPC 34,Case depends mainly on assumptions without physical proof.,Weak,None,High,Low,Acquittal,31
Civil,CPC 9,Medical records exist but lack corroborative digital evidence.,Moderate,Minor,High,Severe,Mediation,65
Property,IPC 420,"CCTV footage, medical records, and witness statements clearly support allegations.",Strong,Serious,Low,Moderate,Conviction,85
Property,IPC 406,"No documentary proof, allegations based primarily on verbal claims.",Weak,Minor,Medium,Moderate,Acquittal,16
Property,IPC 406,"Case supported by documentary proof, eyewitness testimony, and forensic evidence.",Strong,Minor,Low,Moderate,Conviction,81
Property,IPC 406,Witness statements are contradictory and lack supporting evidence.,Weak,None,Low,Severe,Acquittal,15
Civil,CPC 34,Circumstantial evidence supported by limited witnesses.,Moderate,Serious,Medium,Moderate,Settlement,53
